ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
7465,Titanium_6Al4V,114000,1724.67,35.26,94.93,7877.06,41.43,171.557,31.1035
7466,Stainless_304,193000,1590.3,13.22,22.62,417.6,341.12,191.944,73.6177
7467,Copper_Alloy,117000,1431.71,32.62,26.67,557.98,57.81,175.176,76.5636
7468,Steel_High_Carbon,210000,564.61,58.35,80.01,24974.54,153.16,107.222,1.2936
7469,Steel_Mild,200000,1901.75,39.31,54.07,441.85,256.7,42.744,9.5189
7470,Stainless_304,193000,1573.58,49.14,72.95,6486.07,75.25,226.962,26.5514
7471,Aluminum_6061,69000,1128.69,15.92,104.49,3754.29,138.26,99.142,11.4712
7472,Steel_Mild,200000,1591.39,39.35,100.91,10561.97,346.23,62.513,5.0117
7473,Titanium_6Al4V,114000,588.99,22.29,65.84,1294.64,242.32,42.389,1.292
7474,Titanium_6Al4V,114000,1009.55,28.54,108.64,34808.69,277.78,622.37,34.0241
7475,Steel_Mild,200000,760.2,55.89,101.45,23878.39,115.54,172.938,3.2439
7476,Magnesium_AZ31B,45000,857.14,14.75,119.44,4350.75,338.03,42.141,3.6255
7477,Aluminum_6061,69000,1359.45,58.81,27.09,1402.77,12.44,57.972,37.6434
7478,Titanium_6Al4V,114000,1622.05,56.49,98.5,51479.61,178.38,35.098,4.0389
7479,Copper_Alloy,117000,1234.46,28.91,69.44,3322.74,109.52,167.001,20.8074
7480,Nylon_66,3000,278.91,41.53,110.63,19262.55,242.22,58.858,8.7695
7481,Stainless_304,193000,1336.24,17.15,76.86,2009.13,258.16,155.972,12.487
7482,Brass,105000,1455.35,12.03,92.5,435.45,86.98,36.924,5.3631
7483,Polycarbonate,2400,1227.49,22.39,92.15,963.25,150.53,18.773,83.3757
7484,Polycarbonate,2400,814.91,47.44,69.58,3148.38,9.55,12.068,29.4822
7485,Steel_Mild,200000,1045.69,38.21,76.71,9904.34,336.89,111.638,5.1543
7486,Nylon_66,3000,1905.9,10.21,104.72,685.5,186.0,7.958,56.4128
7487,Aluminum_6061,69000,1627.36,26.62,82.39,953.49,225.66,37.162,11.444
7488,Brass,105000,1703.12,17.8,72.83,2093.49,81.49,224.365,56.6654
7489,Copper_Alloy,117000,665.49,49.9,21.0,585.95,206.53,47.994,5.7067
7490,Titanium_6Al4V,114000,803.34,15.54,48.14,1313.76,354.74,17.873,1.2638
7491,Stainless_304,193000,1809.65,53.65,71.32,3047.27,336.92,48.27,7.5387
7492,Copper_Alloy,117000,1237.2,41.57,21.97,551.26,121.37,174.45,69.1271
7493,Magnesium_AZ31B,45000,1494.79,21.97,57.1,1064.88,160.24,45.881,26.1319
7494,Copper_Alloy,117000,1868.39,54.9,53.48,2233.57,2.17,6.799,2.2458
7495,Copper_Alloy,117000,1674.91,13.51,27.95,344.36,38.72,205.821,117.3001
7496,Steel_Mild,200000,310.78,12.03,62.89,4743.88,103.95,182.627,0.9237
7497,Brass,105000,1369.91,16.61,95.08,3294.48,122.88,152.648,18.9792
7498,Stainless_304,193000,304.07,50.35,69.05,15011.08,220.41,77.582,0.3421
7499,Stainless_304,193000,1616.76,13.44,43.84,679.44,219.99,164.872,33.772
7500,Brass,105000,1831.65,17.96,28.86,207.19,156.86,60.187,44.1511
7501,Magnesium_AZ31B,45000,1350.56,58.65,117.54,8052.85,349.65,15.627,3.3265
7502,Copper_Alloy,117000,864.43,15.81,91.24,4333.2,115.76,155.255,7.1767
7503,Aluminum_6061,69000,1742.93,18.99,62.96,1523.62,186.2,24.129,10.6569
7504,Steel_High_Carbon,210000,224.64,32.56,75.78,14756.02,275.17,107.593,0.224
7505,Steel_Mild,200000,1364.7,25.74,43.67,1535.28,35.47,149.732,21.1255
7506,Steel_Mild,200000,630.93,51.78,87.41,22696.09,201.93,85.897,1.2313
7507,Aluminum_6061,69000,856.06,51.23,26.34,1351.4,218.71,122.923,32.8306
7508,Nylon_66,3000,241.85,39.67,79.4,659.63,6.68,0.656,0.0748
7509,Titanium_6Al4V,114000,1339.54,23.19,48.13,4427.95,351.34,103.685,21.7479
7510,Magnesium_AZ31B,45000,412.03,49.73,42.58,1123.33,254.01,29.784,1.7489
7511,Aluminum_6061,69000,1884.72,28.88,45.61,473.22,240.19,77.469,58.1562
7512,Brass,105000,1743.06,17.81,84.01,2857.38,316.7,164.473,37.4393
7513,Magnesium_AZ31B,45000,1969.67,15.21,32.8,473.29,356.98,18.956,31.5564
7514,Titanium_6Al4V,114000,1306.74,44.3,61.37,9515.27,189.41,76.574,11.8956
7515,Aluminum_6061,69000,499.03,48.64,25.3,429.09,6.7,5.162,0.4579
7516,Titanium_6Al4V,114000,1839.79,52.88,64.23,8442.49,202.65,166.824,50.699
7517,Magnesium_AZ31B,45000,1256.55,55.47,94.67,503.59,356.35,0.582,0.1202
7518,Copper_Alloy,117000,1931.3,42.39,38.3,494.61,355.6,7.375,3.924
7519,Magnesium_AZ31B,45000,1994.84,55.42,42.98,1036.97,58.11,103.17,141.1928
7520,Magnesium_AZ31B,45000,570.92,46.27,106.39,9374.33,218.81,40.033,1.7443
7521,Stainless_304,193000,1889.99,11.02,105.44,848.44,101.75,77.056,8.9972
7522,Nylon_66,3000,441.98,50.57,103.88,430.56,324.64,1.284,0.5061
7523,Steel_Mild,200000,1520.27,32.2,28.96,350.68,277.89,117.383,31.2119
7524,Steel_High_Carbon,210000,1107.65,19.94,76.31,6454.25,118.14,327.892,16.6262
7525,Steel_Mild,200000,235.57,45.68,58.23,7770.21,23.58,31.19,0.0902
7526,Nylon_66,3000,1271.59,52.54,42.38,262.84,3.71,1.493,11.6587
7527,Brass,105000,1433.57,37.24,22.95,110.64,104.88,46.926,26.6605
7528,Steel_High_Carbon,210000,240.13,27.5,110.19,97813.61,145.5,269.876,0.3983
7529,Aluminum_6061,69000,1919.71,14.5,102.1,2368.77,54.04,147.084,50.9534
7530,Magnesium_AZ31B,45000,253.88,25.42,40.23,4281.6,85.56,158.749,3.7515
7531,Aluminum_6061,69000,1373.78,13.0,94.28,3466.54,211.67,132.29,25.1095
7532,Steel_High_Carbon,210000,1103.6,53.77,47.65,9860.77,354.07,59.091,4.4835
7533,Aluminum_6061,69000,1347.74,56.83,71.27,9818.6,155.71,115.383,27.8611
7534,Polycarbonate,2400,1737.56,36.82,106.1,503.28,21.01,4.66,35.8737
7535,Steel_High_Carbon,210000,1965.97,14.09,100.93,5139.76,13.35,101.07,11.8568
7536,Steel_Mild,200000,1371.37,53.72,118.46,11556.51,48.23,95.353,4.9786
7537,Copper_Alloy,117000,511.92,14.41,109.24,2028.48,294.54,33.633,0.4505
7538,Steel_Mild,200000,1218.19,42.65,64.25,5565.46,175.75,19.152,1.3183
7539,Stainless_304,193000,1097.25,52.2,101.79,17154.68,199.01,71.122,2.779
7540,Stainless_304,193000,1806.42,55.71,25.31,118.28,338.05,13.506,5.9799
7541,Magnesium_AZ31B,45000,734.25,43.52,63.3,6088.98,191.96,34.061,4.0224
7542,Steel_Mild,200000,929.61,46.77,34.7,2609.66,22.32,99.662,8.1488
7543,Stainless_304,193000,1357.57,57.45,49.98,3445.34,68.43,182.322,23.1639
7544,Stainless_304,193000,257.79,58.79,66.11,39337.65,350.04,51.129,0.1428
7545,Stainless_304,193000,1519.44,55.34,21.19,579.66,55.1,174.708,65.6431
7546,Magnesium_AZ31B,45000,1087.26,46.18,102.02,12250.47,32.88,92.521,15.4952
7547,Steel_High_Carbon,210000,1234.34,46.51,88.46,11540.45,38.98,149.975,8.0773
7548,Magnesium_AZ31B,45000,1381.76,49.19,99.18,8041.5,80.32,136.164,38.7352
7549,Steel_Mild,200000,711.91,14.85,106.83,9567.72,263.01,240.586,3.785
7550,Polycarbonate,2400,355.27,46.16,85.29,1716.26,78.71,10.827,4.392
7551,Nylon_66,3000,652.3,10.72,109.37,250.29,100.29,7.574,6.4982
7552,Steel_High_Carbon,210000,661.07,56.28,56.39,702.5,273.93,15.559,0.3822
7553,Steel_Mild,200000,1379.71,22.03,96.21,3071.99,4.48,11.19,0.6425
7554,Brass,105000,901.51,35.5,106.83,4753.25,131.76,48.233,2.2865
7555,Magnesium_AZ31B,45000,1794.58,52.81,79.92,2874.87,3.32,5.996,3.1729
7556,Nylon_66,3000,858.42,12.64,94.13,495.29,102.12,22.382,38.7415
7557,Titanium_6Al4V,114000,332.03,24.22,112.24,101255.08,116.5,614.407,3.3988
7558,Steel_Mild,200000,1870.83,17.74,87.63,2568.89,9.15,35.299,4.4815
7559,Titanium_6Al4V,114000,246.63,30.92,72.87,45784.75,262.06,414.809,1.995
7560,Steel_Mild,200000,1683.27,58.19,60.88,4199.88,115.19,178.496,27.6094
7561,Titanium_6Al4V,114000,580.46,57.54,110.98,207079.99,29.75,534.77,8.9667
7562,Aluminum_6061,69000,1364.13,13.97,29.02,224.51,188.68,24.12,14.6036
7563,Steel_High_Carbon,210000,1150.14,55.15,103.25,44400.76,283.29,509.372,20.629
7564,Copper_Alloy,117000,1963.67,37.95,82.91,2489.97,137.9,75.994,19.9799
7565,Aluminum_6061,69000,1684.16,42.45,52.49,492.58,305.98,34.572,17.9803
7566,Magnesium_AZ31B,45000,775.69,50.31,107.97,1931.65,149.22,8.164,0.6477
7567,Stainless_304,193000,859.16,21.96,87.29,1174.96,106.88,34.85,1.0118
7568,Copper_Alloy,117000,1893.3,47.45,85.42,2319.65,309.42,59.17,14.0587
7569,Titanium_6Al4V,114000,1062.61,52.5,84.43,11284.26,238.83,165.902,12.8644
7570,Brass,105000,917.94,40.25,36.04,195.57,225.88,14.887,2.1956
7571,Polycarbonate,2400,528.03,19.1,34.71,129.67,350.69,3.082,6.4445
7572,Aluminum_6061,69000,276.65,23.7,26.35,665.69,277.75,66.737,1.8672
7573,Copper_Alloy,117000,1624.81,30.04,69.99,2396.61,260.41,156.772,33.648
7574,Titanium_6Al4V,114000,321.37,53.2,34.82,17186.04,76.3,501.89,8.6579
7575,Magnesium_AZ31B,45000,1434.95,37.74,51.59,1293.18,148.77,58.045,33.9818
7576,Stainless_304,193000,737.46,23.59,118.11,8322.06,282.74,110.062,1.7359
7577,Magnesium_AZ31B,45000,1257.75,33.35,93.95,3461.06,48.43,67.149,16.5592
7578,Copper_Alloy,117000,525.6,13.67,22.5,497.48,296.31,203.966,14.2169
7579,Steel_Mild,200000,204.2,44.58,60.24,7585.65,139.63,39.65,0.0859
7580,Polycarbonate,2400,435.0,46.89,99.15,1119.73,332.91,3.115,1.5311
7581,Aluminum_6061,69000,1167.62,22.85,115.38,4736.76,183.16,7.812,0.6872
7582,Copper_Alloy,117000,1560.4,44.54,62.46,4335.33,34.69,134.246,29.53
7583,Polycarbonate,2400,1747.76,50.63,37.16,479.64,174.15,7.587,167.4377
7584,Polycarbonate,2400,299.17,19.06,109.26,4389.83,53.57,29.447,6.3423
7585,Brass,105000,800.22,14.01,70.6,2589.2,318.56,119.87,6.7852
7586,Steel_Mild,200000,394.58,26.09,118.36,38402.9,182.84,24.797,0.0593
7587,Stainless_304,193000,678.96,16.34,116.39,11661.66,205.17,97.066,1.249
7588,Magnesium_AZ31B,45000,666.18,10.07,27.47,178.64,146.08,52.981,12.5504
7589,Titanium_6Al4V,114000,806.36,34.88,114.8,14763.25,335.67,67.491,2.1205
7590,Magnesium_AZ31B,45000,1847.09,16.36,84.03,258.42,261.02,24.522,14.7297
7591,Titanium_6Al4V,114000,1390.66,27.31,42.22,1060.15,83.59,180.693,48.371
7592,Brass,105000,1850.72,32.01,86.87,1580.55,318.27,48.796,12.1069
7593,Aluminum_6061,69000,570.4,56.37,38.13,5823.02,44.05,171.085,13.9384
7594,Aluminum_6061,69000,638.51,17.52,103.77,8779.0,154.16,82.23,2.9498
7595,Aluminum_6061,69000,791.03,18.68,105.49,5907.56,233.08,109.812,6.1801
7596,Steel_Mild,200000,296.39,18.51,88.81,11578.32,177.38,13.509,0.0237
7597,Titanium_6Al4V,114000,1534.81,31.94,79.21,17645.78,349.07,160.634,26.7392
7598,Aluminum_6061,69000,1193.35,17.38,90.84,3688.32,124.08,153.905,23.1008
7599,Steel_High_Carbon,210000,297.1,56.51,59.19,53856.26,294.16,450.651,2.0946
7600,Brass,105000,968.7,40.92,47.2,1275.84,141.25,51.441,6.4268
7601,Steel_Mild,200000,1832.59,39.25,55.75,2318.86,154.75,90.122,17.9026
7602,Brass,105000,607.82,13.33,104.81,6716.67,69.67,158.962,3.5106
7603,Titanium_6Al4V,114000,494.93,26.8,119.84,131775.56,346.19,283.676,2.9061
7604,Steel_Mild,200000,1351.52,40.01,32.52,1115.09,210.06,107.794,20.0421
7605,Polycarbonate,2400,623.03,24.95,48.16,330.28,21.08,7.934,17.1805
7606,Copper_Alloy,117000,1159.69,12.12,35.57,339.74,237.41,130.322,27.9825
7607,Stainless_304,193000,1421.1,20.55,81.76,2164.99,214.47,77.142,6.4893
7608,Steel_High_Carbon,210000,231.51,27.52,34.5,1408.0,230.65,47.206,0.2277
7609,Magnesium_AZ31B,45000,717.82,38.11,25.08,343.53,233.63,49.917,15.1267
7610,Aluminum_6061,69000,1913.52,35.58,106.4,9563.55,306.06,221.915,73.2698
7611,Steel_High_Carbon,210000,243.98,48.84,114.97,172200.54,0.28,32.577,0.0358
7612,Aluminum_6061,69000,1972.64,46.85,92.94,9188.82,250.19,253.611,102.2831
7613,Magnesium_AZ31B,45000,517.15,29.37,31.76,115.61,351.94,1.821,0.2118
7614,Brass,105000,289.69,15.62,115.52,17502.68,4.29,20.676,0.057
7615,Nylon_66,3000,1530.78,39.24,78.37,1762.3,1.96,2.87,15.2653
7616,Brass,105000,1616.84,14.57,117.68,1453.19,21.37,26.261,3.5908
7617,Titanium_6Al4V,114000,1300.56,33.0,110.91,31334.9,68.22,562.915,49.8867
7618,Copper_Alloy,117000,250.58,22.7,47.8,6324.59,279.42,182.431,1.3538
7619,Copper_Alloy,117000,808.96,18.52,109.48,1370.49,81.24,29.771,1.0088
7620,Steel_Mild,200000,1130.14,40.37,56.98,4038.39,111.4,195.207,14.534
7621,Steel_High_Carbon,210000,562.72,12.22,47.66,1327.14,135.53,114.788,2.3852
7622,Steel_High_Carbon,210000,1636.06,38.03,56.19,4169.15,176.48,22.876,3.1647
7623,Polycarbonate,2400,531.21,31.95,66.33,3422.06,175.68,7.462,6.9161
7624,Copper_Alloy,117000,1153.76,38.58,106.85,107.2,158.68,0.637,0.0435
7625,Aluminum_6061,69000,387.79,13.85,55.39,457.35,147.42,14.012,0.3537
7626,Titanium_6Al4V,114000,1895.24,13.39,77.03,5890.42,226.88,619.372,167.8075
7627,Titanium_6Al4V,114000,1345.38,43.92,71.73,6560.21,277.5,232.671,34.2856
7628,Polycarbonate,2400,1348.05,55.28,101.73,2659.19,210.35,19.414,94.2617
7629,Nylon_66,3000,250.36,21.85,66.32,2888.22,240.25,40.434,8.2323
7630,Brass,105000,1300.07,57.25,68.59,2904.49,124.31,69.917,10.8708
7631,Titanium_6Al4V,114000,1329.5,24.16,81.72,2157.95,122.47,90.631,11.3855
7632,Brass,105000,579.36,13.35,62.86,969.77,245.04,58.488,1.9643
7633,Magnesium_AZ31B,45000,1930.58,38.86,24.64,316.29,27.58,72.191,161.1165
7634,Copper_Alloy,117000,1080.9,14.48,84.01,3242.54,87.76,205.838,16.2938
7635,Magnesium_AZ31B,45000,446.85,20.22,99.39,543.43,65.3,6.77,0.1972
7636,Steel_Mild,200000,275.29,56.21,77.63,13612.66,297.66,60.665,0.1913
7637,Aluminum_6061,69000,1051.78,35.91,77.67,8122.65,310.51,181.883,24.7565
7638,Titanium_6Al4V,114000,1911.34,51.03,83.95,13500.92,132.42,319.996,80.878
7639,Magnesium_AZ31B,45000,1495.1,58.12,59.7,3389.3,128.54,115.431,63.6829
7640,Aluminum_6061,69000,1362.0,27.5,112.05,2271.73,57.5,45.773,7.2537
7641,Polycarbonate,2400,1421.1,41.55,104.57,831.59,28.51,7.621,39.9616
7642,Aluminum_6061,69000,1797.27,19.96,84.68,2738.2,306.25,167.365,61.3179
7643,Steel_High_Carbon,210000,1959.53,27.99,20.24,189.67,173.78,21.404,12.6904
7644,Aluminum_6061,69000,505.51,40.54,41.53,5436.08,329.38,122.96,7.1405
7645,Aluminum_6061,69000,315.82,29.58,21.77,510.76,321.88,43.261,1.8866
7646,Steel_High_Carbon,210000,519.83,16.65,43.92,4743.98,88.16,460.977,8.9938
7647,Steel_High_Carbon,210000,1367.84,16.24,67.87,2207.02,343.8,69.491,5.9119
7648,Steel_High_Carbon,210000,1436.48,33.38,50.07,1009.18,349.57,19.412,2.4618
7649,Magnesium_AZ31B,45000,1576.91,24.17,76.55,534.26,118.7,31.451,15.0654
7650,Magnesium_AZ31B,45000,1436.36,36.95,32.48,605.91,322.22,82.471,77.2293
7651,Nylon_66,3000,1192.22,41.87,78.08,912.62,305.94,20.878,83.7652
7652,Brass,105000,1120.2,50.96,45.49,196.69,257.83,12.274,2.1463
7653,Copper_Alloy,117000,300.47,36.56,50.8,6084.36,41.04,79.004,0.773
7654,Stainless_304,193000,305.96,49.22,37.89,8061.88,340.14,75.314,0.6072
7655,Brass,105000,641.4,29.36,74.71,9960.64,271.47,234.249,8.1754
7656,Steel_High_Carbon,210000,376.1,21.87,95.03,46156.51,17.47,180.339,0.7491
7657,Magnesium_AZ31B,45000,1171.75,53.9,75.73,7120.46,76.71,158.071,42.3329
7658,Magnesium_AZ31B,45000,671.64,49.14,87.94,487.94,134.94,3.748,0.2783
7659,Brass,105000,935.17,43.95,87.87,10790.19,200.7,65.729,3.9853
7660,Titanium_6Al4V,114000,656.5,43.98,58.97,31148.23,334.13,361.103,14.9611
7661,Brass,105000,1312.58,53.56,45.76,213.83,35.52,8.796,2.0854
7662,Magnesium_AZ31B,45000,372.01,54.73,55.26,10469.22,218.5,89.924,3.2294
7663,Aluminum_6061,69000,1485.2,48.12,51.74,1897.32,328.85,68.553,27.9658
7664,Brass,105000,1072.65,55.96,67.15,795.35,227.19,15.031,1.619
7665,Steel_Mild,200000,1673.43,48.66,20.2,356.08,59.05,154.616,71.362
7666,Steel_High_Carbon,210000,271.79,36.28,60.28,22330.18,0.14,10.886,0.0135
7667,Copper_Alloy,117000,1427.41,34.59,114.26,3006.87,60.83,50.195,5.0595
7668,Nylon_66,3000,207.04,34.04,72.56,3499.01,79.72,24.387,3.1329
7669,Stainless_304,193000,362.78,55.15,65.8,18395.39,287.95,161.576,1.1022
7670,Stainless_304,193000,1322.79,43.41,67.13,6091.09,302.84,208.814,18.6942
7671,Brass,105000,397.03,11.53,58.12,3306.13,328.39,110.394,1.8252
7672,Polycarbonate,2400,524.47,17.89,98.86,4346.96,26.93,37.735,27.3902
7673,Magnesium_AZ31B,45000,1118.3,56.58,39.83,2090.65,220.98,103.201,47.6737
7674,Titanium_6Al4V,114000,464.22,23.1,77.99,9441.97,109.26,178.89,2.8553
7675,Titanium_6Al4V,114000,1095.11,46.97,95.09,29092.48,101.09,443.249,32.576
7676,Brass,105000,1723.64,43.12,32.19,438.01,324.75,58.772,34.2877
7677,Titanium_6Al4V,114000,1083.8,39.63,90.23,14254.71,356.51,21.477,1.332
7678,Magnesium_AZ31B,45000,1065.16,44.51,74.89,1155.69,213.81,16.759,3.6951
7679,Stainless_304,193000,1470.93,34.07,78.34,5273.91,75.32,215.897,20.5435
7680,Stainless_304,193000,573.83,51.49,97.37,19895.42,249.16,132.9,1.5319
7681,Nylon_66,3000,1057.73,48.4,48.0,244.29,344.63,3.787,19.0867
7682,Nylon_66,3000,416.02,39.81,23.01,111.13,120.72,11.379,18.9106
7683,Steel_High_Carbon,210000,1792.33,21.15,52.87,2180.61,7.77,55.564,10.3443
7684,Aluminum_6061,69000,1886.05,21.99,38.44,240.47,4.45,6.782,5.8097
7685,Magnesium_AZ31B,45000,1404.23,52.82,68.36,1246.85,68.44,39.718,16.9149
7686,Steel_Mild,200000,343.45,30.81,70.1,12972.04,235.11,148.812,0.8123
7687,Polycarbonate,2400,1780.88,39.85,79.43,429.74,340.51,6.223,67.5862
7688,Aluminum_6061,69000,1163.06,16.56,52.96,920.27,251.58,131.538,32.3733
7689,Titanium_6Al4V,114000,589.36,22.32,73.5,32482.25,156.9,392.471,10.3291
7690,Steel_Mild,200000,1588.81,10.86,106.57,340.83,275.29,26.269,2.0711
7691,Aluminum_6061,69000,629.52,12.98,99.62,9735.17,124.49,240.084,9.0431
7692,Nylon_66,3000,362.42,38.28,68.29,5260.93,164.8,18.794,7.1852
7693,Steel_Mild,200000,697.4,12.66,103.17,2279.17,324.95,42.153,0.6387
7694,Magnesium_AZ31B,45000,723.53,51.76,104.22,7185.8,336.23,23.625,1.6644
7695,Copper_Alloy,117000,1867.52,37.41,84.38,3130.0,119.62,114.977,26.9581
7696,Brass,105000,529.78,37.87,37.54,1983.78,322.61,72.891,3.4059
7697,Aluminum_6061,69000,471.74,24.49,49.62,3984.82,346.2,47.846,1.9335
7698,Stainless_304,193000,1163.07,37.52,27.34,269.47,57.42,56.645,9.6564
7699,Steel_Mild,200000,1418.75,29.56,67.96,4416.84,235.28,227.661,22.3479
7700,Titanium_6Al4V,114000,1846.71,54.88,102.6,40694.12,326.61,435.693,83.4938
7701,Copper_Alloy,117000,327.29,17.13,70.73,3126.49,53.21,59.164,0.4951
7702,Steel_Mild,200000,874.85,43.07,94.14,1010.78,296.58,12.556,0.3369
7703,Steel_High_Carbon,210000,1222.2,27.98,110.85,8767.3,336.99,75.753,3.1271
7704,Polycarbonate,2400,440.22,41.28,81.26,7369.76,337.44,29.508,18.1538
7705,Steel_High_Carbon,210000,665.25,16.2,108.79,25531.17,41.8,365.931,4.5753
7706,Nylon_66,3000,665.35,53.15,97.5,8587.86,289.48,64.65,64.5443
7707,Nylon_66,3000,1465.14,52.91,89.34,1545.83,311.11,24.468,129.4542
7708,Steel_Mild,200000,424.82,49.85,66.14,1830.59,281.24,21.142,0.1909
7709,Stainless_304,193000,866.91,48.32,71.47,7337.63,350.65,27.234,0.9126
7710,Brass,105000,241.17,51.72,26.01,2320.51,174.46,10.99,0.1316
7711,Stainless_304,193000,655.15,23.6,73.04,6765.99,323.49,128.982,2.5513
7712,Brass,105000,570.81,53.91,38.17,4121.07,140.29,116.396,6.2223
7713,Steel_Mild,200000,1970.81,35.25,39.28,1234.22,19.15,88.872,29.0144
7714,Aluminum_6061,69000,795.95,45.13,110.67,4353.83,115.51,34.386,1.8778
7715,Copper_Alloy,117000,1064.12,40.08,71.88,6340.36,315.34,139.029,12.3339
7716,Magnesium_AZ31B,45000,1486.4,23.41,39.85,135.28,105.95,31.246,25.6302
7717,Steel_High_Carbon,210000,1275.85,52.34,114.56,17827.63,251.26,189.24,8.4868
7718,Titanium_6Al4V,114000,1403.3,46.13,80.36,21053.88,145.79,339.365,47.9455
7719,Magnesium_AZ31B,45000,443.36,18.11,39.97,1515.65,177.34,8.563,0.4716
7720,Brass,105000,1618.74,37.7,54.42,1626.2,106.7,135.739,41.4232
7721,Magnesium_AZ31B,45000,1636.37,13.8,95.79,1280.72,331.89,47.658,19.3768
7722,Copper_Alloy,117000,1793.46,54.77,99.89,5672.91,183.04,6.961,1.087
7723,Aluminum_6061,69000,1659.21,21.5,28.69,160.73,291.74,84.085,77.8644
7724,Polycarbonate,2400,1052.46,31.33,81.63,1746.02,169.76,10.066,35.3902
7725,Brass,105000,546.18,53.0,73.15,1505.69,39.82,11.458,0.2885
7726,Brass,105000,686.28,53.47,85.64,1992.18,226.57,15.512,0.5304
7727,Magnesium_AZ31B,45000,1392.21,41.85,103.91,3894.18,358.41,2.893,0.5527
7728,Aluminum_6061,69000,1061.02,55.26,56.69,1277.67,329.97,23.28,4.3978
7729,Nylon_66,3000,539.65,21.8,72.46,420.17,72.99,11.463,10.1513
7730,Aluminum_6061,69000,654.16,51.79,112.22,22451.92,91.39,135.54,4.9766
7731,Stainless_304,193000,1542.01,50.62,30.99,276.25,312.93,38.616,10.2024
7732,Stainless_304,193000,533.04,16.98,64.17,4219.61,230.91,152.449,2.2912
7733,Steel_Mild,200000,1504.89,48.15,115.35,8521.72,302.94,101.684,6.5964
7734,Titanium_6Al4V,114000,526.08,11.83,93.86,9011.01,162.8,88.676,1.3921
7735,Aluminum_6061,69000,1495.19,19.09,113.35,1042.55,29.49,19.201,3.5771
7736,Copper_Alloy,117000,1630.77,30.98,51.72,916.7,265.05,107.892,31.5936
7737,Steel_Mild,200000,226.91,55.09,84.06,82571.96,173.44,50.982,0.0703
7738,Steel_High_Carbon,210000,1764.69,29.44,95.91,1425.99,291.21,52.174,5.3576
7739,Aluminum_6061,69000,1845.48,13.92,119.71,361.11,76.49,19.548,5.3575
7740,Aluminum_6061,69000,1674.23,36.9,79.69,5173.14,328.78,116.473,39.0639
7741,Copper_Alloy,117000,684.47,53.21,101.57,4380.04,309.29,25.926,0.6666
7742,Copper_Alloy,117000,1796.76,57.33,82.74,6059.49,269.72,166.48,37.0038
7743,Steel_Mild,200000,1110.31,40.76,70.55,2132.23,203.26,28.341,1.6105
7744,Stainless_304,193000,1405.0,17.95,79.99,511.63,55.04,30.99,2.6236
7745,Steel_High_Carbon,210000,569.06,42.22,96.74,29877.17,198.67,89.783,0.8785
7746,Brass,105000,1925.32,43.23,109.06,4409.06,307.46,79.221,16.9685
7747,Steel_High_Carbon,210000,937.73,31.08,56.51,6639.34,274.9,375.451,18.5247
7748,Stainless_304,193000,591.45,38.76,76.55,14535.93,26.69,106.54,1.6103
7749,Copper_Alloy,117000,1039.84,39.06,34.53,1728.22,320.5,148.27,26.2761
7750,Magnesium_AZ31B,45000,1344.04,25.01,29.71,320.62,80.63,115.634,104.0925
7751,Aluminum_6061,69000,813.62,32.77,34.78,219.69,154.58,11.789,2.1357
7752,Steel_Mild,200000,1573.66,47.13,114.47,8629.36,335.52,56.153,3.9424
7753,Steel_Mild,200000,1772.59,58.12,43.66,2244.25,120.84,185.446,44.3753
7754,Stainless_304,193000,1394.08,57.72,108.0,14080.99,140.06,114.105,6.9812
7755,Stainless_304,193000,1752.58,36.73,90.6,7128.05,177.11,14.677,1.468
7756,Copper_Alloy,117000,1578.58,19.58,22.49,349.01,187.42,43.892,27.2143
7757,Aluminum_6061,69000,404.36,35.79,76.26,20440.33,8.65,43.337,0.7436
7758,Nylon_66,3000,385.77,23.96,108.68,5325.54,26.24,21.223,5.8648
7759,Aluminum_6061,69000,1860.26,42.24,47.55,859.21,115.43,90.875,63.7671
7760,Magnesium_AZ31B,45000,885.13,42.38,94.54,10667.49,281.01,147.476,18.0242
7761,Magnesium_AZ31B,45000,1028.72,58.99,74.17,6324.23,291.63,112.404,23.6359
7762,Stainless_304,193000,1387.81,50.48,58.93,1110.73,328.9,27.576,3.0766
7763,Steel_High_Carbon,210000,1521.37,47.34,118.78,19898.99,254.12,262.697,16.1815
7764,Brass,105000,1645.09,19.06,105.17,3476.2,122.94,137.587,22.3168
7765,Nylon_66,3000,618.91,30.95,39.1,308.23,334.03,10.826,23.0612
7766,Polycarbonate,2400,823.94,22.4,74.14,587.92,232.46,18.947,47.6083
7767,Titanium_6Al4V,114000,444.09,17.13,69.7,13329.67,148.3,234.263,3.7111
7768,Stainless_304,193000,1003.18,20.28,110.17,10179.99,255.96,242.874,7.62
7769,Copper_Alloy,117000,973.11,55.46,61.75,208.09,57.38,4.874,0.4228
7770,Aluminum_6061,69000,1265.22,32.42,73.45,6518.33,223.92,198.279,41.3237
7771,Titanium_6Al4V,114000,1348.99,35.48,95.1,32099.68,52.53,648.708,71.9115
7772,Steel_High_Carbon,210000,1275.7,35.14,23.94,1013.11,221.04,253.729,54.5582
7773,Copper_Alloy,117000,1107.84,54.96,117.56,15369.0,191.59,29.378,1.6075
7774,Copper_Alloy,117000,365.88,36.88,89.08,14388.11,262.7,108.202,0.9167
